"","Manufacturer","Model","X__year_resale_value","Vehicle_type","Engine_size","Wheelbase","Width","Curb_weight"
"1",1,63,16.36,2,1.8,101.2,67.3,2.639
"2",1,110,19.875,2,3.2,108.1,70.3,3.517
"4",1,94,29.725,2,3.5,114.6,71.4,3.85
"5",2,5,22.255,2,1.8,102.6,68.2,2.998
"6",2,6,23.555,2,2.8,108.7,76.1,3.561
"7",2,7,39,2,4.2,113,74,3.902
"9",3,2,28.675,2,2.8,107.3,68.5,3.197
"10",3,4,36.125,2,2.8,111.4,70.9,3.472
"11",4,28,12.475,2,3.1,109,72.7,3.368
"12",4,93,13.74,2,3.8,109,72.7,3.543
"13",4,82,20.19,2,3.8,113.8,74.7,3.778
"14",4,66,13.36,2,3.8,112.2,73.5,3.591
"15",5,42,22.525,2,4.6,115.3,74.5,3.978
"17",5,47,25.725,2,4.6,108,75.5,3.843
"18",5,25,18.225,2,3,107.4,70.3,3.77
"20",6,26,9.25,2,2.2,104.1,67.9,2.676
"21",6,70,11.225,2,3.1,107,69.4,3.051
"22",6,69,10.31,2,3.1,107.5,72.5,3.33
"23",6,74,11.525,2,3.4,110.5,72.7,3.34
"24",6,20,13.025,2,3.8,101.1,74.1,3.5
"25",6,36,36.225,2,5.7,104.5,73.6,3.21
"26",6,86,9.125,2,1.8,97.1,66.7,2.398
"27",6,72,5.16,2,1,93.1,62.6,1.895
"29",7,99,12.36,2,2.5,103.7,69.7,2.967
"30",7,98,14.18,2,2.5,106,69.2,3.332
"31",7,32,13.725,2,2.7,113,74.4,3.452
"32",7,30,12.64,2,2,108,71,2.911
"33",7,67,17.325,2,3.5,113,74.4,3.564
"36",8,80,7.75,2,2,105,74.4,2.567
"37",8,13,12.545,2,2.5,103.7,69.1,2.879
"38",8,105,10.185,2,2.5,108,71,3.058
"40",8,113,58.47,2,8,96.2,75.7,3.375
"41",8,88,15.06,1,5.2,138.7,79.3,4.47
"42",8,90,15.51,1,3.9,109.6,78.8,4.245
"43",8,89,13.425,1,3.9,127.2,78.8,4.298
"44",8,41,11.26,1,2.5,131,71.5,3.557
"46",8,22,12.025,1,2.4,113.3,76.8,3.533
"47",9,49,7.425,2,2,98.4,67,2.468
"48",9,78,12.76,2,3.8,101.3,73.1,3.203
"49",9,34,8.835,2,2.5,106.5,69.1,2.769
"50",9,109,10.055,2,3,108.5,73,3.368
"52",9,39,14.21,2,4.6,114.7,78.2,3.908
"53",9,51,16.64,1,4,111.6,70.2,3.876
"54",9,115,13.175,1,3,120.7,76.6,3.761
"55",9,50,23.575,1,4.6,119,78.7,4.808
"56",9,91,7.85,1,2.5,117.5,69.4,3.086
"57",9,52,15.075,1,4.6,138.5,79.1,4.241
"58",10,31,9.85,2,1.6,103.2,67.1,2.339
"59",10,9,13.21,2,2.3,106.9,70.3,2.932
"60",10,38,17.71,1,2,103.2,68.9,3.219
"61",10,84,17.525,1,3.2,106.4,70.4,3.857
"62",10,81,19.49,1,3.5,118.1,75.6,4.288
"63",11,8,5.86,2,1.5,96.1,65.7,2.24
"64",11,46,7.825,2,2,100.4,66.9,2.626
"65",11,104,8.91,2,2.4,106.3,71.6,3.072
"66",12,62,19.69,2,3,108.3,70.2,3.342
"68",13,116,13.475,1,2.5,93.4,66.7,3.045
"69",13,29,13.775,1,4,101.4,69.4,3.194
"70",13,57,18.81,1,4,105.9,72.3,3.88
"71",14,48,26.975,2,3,105.1,70.5,3.373
"72",14,60,32.075,2,3,110.2,70.9,3.638
"74",14,68,40.375,2,4,112.2,72,3.89
"77",15,33,20.525,2,4.6,109,73.6,3.868
"78",15,111,21.725,2,4.6,117.7,78.2,4.121
"80",18,73,8.325,2,1.8,98.4,66.5,2.25
"81",18,45,10.395,2,2.4,100.8,68.9,2.91
"82",18,54,10.595,2,2.4,103.7,68.5,2.945
"83",18,43,16.575,2,3.5,107.1,70.3,3.443
"84",18,1,20.94,2,3,97.2,72.4,3.131
"85",18,75,19.125,1,3.5,107.3,69.9,4.52
"86",18,76,13.88,1,3,107.3,66.7,3.51
"87",17,79,8.8,2,2,106.5,69.1,2.769
"88",17,37,13.89,2,2,106.4,69.6,2.892
"89",17,96,11.03,2,3,108.5,73,3.379
"90",17,58,14.875,2,4.6,114.7,78.2,3.958
"91",17,77,20.43,1,4,111.6,70.2,3.876
"92",17,112,14.795,1,3.3,112.2,74.9,3.944
"93",16,18,26.05,2,2.3,105.9,67.7,3.25
"94",16,44,41.45,2,3.2,111.5,70.8,3.823
"95",16,95,50.375,2,4.3,121.5,73.1,4.133
"96",16,103,58.6,2,5,99,71.3,4.125
"102",19,100,8.45,2,1.8,99.8,67.3,2.593
"103",19,10,11.295,2,2.4,103.1,69.1,3.012
"104",19,71,15.125,2,3,108.3,70.3,3.294
"105",19,87,15.38,1,3.3,112.2,74.9,3.991
"106",19,85,17.81,1,3.3,106.3,71.7,3.947
"109",20,40,11.24,2,3.1,107,69.4,3.102
"112",20,11,19.89,2,4,113.8,74.4,3.967
"113",20,16,19.925,1,4.3,107,67.8,4.068
"114",20,101,15.24,1,3.4,120,72.2,3.948
"115",21,80,7.75,2,2,105,74.4,2.559
"116",21,17,9.8,2,2,108,71,2.942
"117",21,114,12.025,1,2.4,113.3,76.8,3.528
"119",22,106,13.79,2,2.4,104.1,68.4,2.906
"120",22,56,10.29,2,3.4,107,70.4,3.091
"121",22,53,17.805,2,3.8,101.1,74.5,3.492
"122",22,59,14.01,2,3.8,110.5,72.7,3.396
"123",22,14,13.225,2,3.8,112.2,72.6,3.59
"125",23,15,41.25,2,2.7,95.2,70.1,2.778
"126",23,24,60.625,2,3.4,92.6,69.5,3.032
"127",23,23,67.55,2,3.4,92.6,69.5,3.075
"130",24,102,9.2,2,1.9,102.4,66.4,2.332
"131",24,97,10.59,2,1.9,102.4,66.4,2.367
"132",24,107,10.79,2,1.9,102.4,66.4,2.452
"137",25,35,10.025,2,1.8,97,66.7,2.42
"138",25,21,13.245,2,2.2,105.2,70.1,2.998
"139",25,12,18.14,2,3,107.1,71.7,3.417
"140",25,27,15.445,2,1.8,102.4,68.3,2.425
"141",25,108,9.575,1,2.4,103.3,66.5,2.58
"143",25,92,13.325,1,2,94.9,66.7,2.668
"144",25,3,19.425,1,2.7,105.3,66.5,3.44
"145",25,65,34.08,1,4.7,112.2,76.4,5.115
"146",26,55,11.425,2,2,98.9,68.3,2.767
"147",26,64,13.24,2,2,98.9,68.3,2.853
"148",26,83,16.725,2,1.8,106.4,68.5,3.043
"149",26,19,16.575,2,2,97.4,66.7,3.079
"150",26,61,13.76,2,2,98.9,68.3,2.762
